instant;date;time;hr;weekdays;month;cnt;t1;t2;hum;wind_speed;weather_code;is_holiday;is_weekend;season
44;05.01.2015;19:00:00;19;Montag;01;1274;9;6.5;71;14;3;0;0;3
45;05.01.2015;20:00:00;20;Montag;01;696;9;7;71;14;3;0;0;3
46;05.01.2015;21:00:00;21;Montag;01;411;9;7;71;11;3;0;0;3
47;05.01.2015;22:00:00;22;Montag;01;324;9;7.5;71;10;4;0;0;3
48;05.01.2015;23:00:00;23;Montag;01;192;8.5;7.5;73.5;8;4;0;0;3
49;06.01.2015;00:00:00;00;Dienstag;01;91;8;6.5;76;8;4;0;0;3
50;06.01.2015;01:00:00;01;Dienstag;01;73;8;6.5;76;8;4;0;0;3
51;06.01.2015;02:00:00;02;Dienstag;01;33;8;6;76;11;4;0;0;3
52;06.01.2015;03:00:00;03;Dienstag;01;19;8;5.5;76;14;4;0;0;3
53;06.01.2015;04:00:00;04;Dienstag;01;40;8.5;6.5;73.5;11;4;0;0;3
54;06.01.2015;05:00:00;05;Dienstag;01;74;8;5.5;82;14;4;0;0;3
55;06.01.2015;06:00:00;06;Dienstag;01;530;8;5;84.5;15;3;0;0;3
56;06.01.2015;07:00:00;07;Dienstag;01;1715;9;7;82;13;3;0;0;3
57;06.01.2015;08:00:00;08;Dienstag;01;3534;9;7;82;12;7;0;0;3
58;06.01.2015;09:00:00;09;Dienstag;01;1573;9;6.5;87;16;7;0;0;3
59;06.01.2015;10:00:00;10;Dienstag;01;635;10;7.5;88;19.5;3;0;0;3
60;06.01.2015;11:00:00;11;Dienstag;01;550;10;8;88;18;3;0;0;3
61;06.01.2015;12:00:00;12;Dienstag;01;395;11;11;85;19;7;0;0;3
62;06.01.2015;13:00:00;13;Dienstag;01;426;9.5;6;84.5;27.5;3;0;0;3
63;06.01.2015;14:00:00;14;Dienstag;01;579;9;6;71;26;3;0;0;3
64;06.01.2015;15:00:00;15;Dienstag;01;718;8;4.5;71;23;2;0;0;3
65;06.01.2015;16:00:00;16;Dienstag;01;1184;8;5;68.5;19.5;2;0;0;3
66;06.01.2015;17:00:00;17;Dienstag;01;2662;7.5;4;71;22;1;0;0;3
67;06.01.2015;18:00:00;18;Dienstag;01;2610;7;4;71;17.5;1;0;0;3
68;06.01.2015;19:00:00;19;Dienstag;01;1402;6;3;76;15;1;0;0;3
69;06.01.2015;20:00:00;20;Dienstag;01;720;5.5;2.5;78.5;15;1;0;0;3
70;06.01.2015;21:00:00;21;Dienstag;01;494;5;2;81;15;1;0;0;3
71;06.01.2015;22:00:00;22;Dienstag;01;344;4.5;1.5;81;13;1;0;0;3
72;06.01.2015;23:00:00;23;Dienstag;01;212;4;1;84;12;1;0;0;3
73;07.01.2015;00:00:00;00;Mittwoch;01;102;4;1;81;12;1;0;0;3
74;07.01.2015;01:00:00;01;Mittwoch;01;60;4;1;81;11;1;0;0;3
75;07.01.2015;02:00:00;02;Mittwoch;01;33;4;1.5;81;10;1;0;0;3
76;07.01.2015;03:00:00;03;Mittwoch;01;26;3.5;1;84;9;2;0;0;3
77;07.01.2015;04:00:00;04;Mittwoch;01;33;4;1.5;81;10;2;0;0;3
78;07.01.2015;05:00:00;05;Mittwoch;01;80;4;2;87;9;1;0;0;3
79;07.01.2015;06:00:00;06;Mittwoch;01;526;5;2.5;81;10;1;0;0;3
80;07.01.2015;07:00:00;07;Mittwoch;01;1757;5.5;2.5;81;13;1;0;0;3
81;07.01.2015;08:00:00;08;Mittwoch;01;3618;6.5;3.5;81;15;2;0;0;3
82;07.01.2015;09:00:00;09;Mittwoch;01;1714;8;5;76;19;3;0;0;3
83;07.01.2015;10:00:00;10;Mittwoch;01;763;8;5;82;19.5;2;0;0;3
84;07.01.2015;11:00:00;11;Mittwoch;01;690;9;6;76;21;2;0;0;3
85;07.01.2015;12:00:00;12;Mittwoch;01;913;9;5.5;76;27;2;0;0;3
86;07.01.2015;13:00:00;13;Mittwoch;01;982;9.5;6;71.5;28;2;0;0;3
87;07.01.2015;14:00:00;14;Mittwoch;01;783;10;6.5;62;28.5;2;0;0;3
88;07.01.2015;15:00:00;15;Mittwoch;01;794;9;6;68.5;25;2;0;0;3
89;07.01.2015;16:00:00;16;Mittwoch;01;1171;9;6;76;25;3;0;0;3
90;07.01.2015;17:00:00;17;Mittwoch;01;2647;9.5;6.5;71.5;24;3;0;0;3
91;07.01.2015;18:00:00;18;Mittwoch;01;2579;10;7;71;30;3;0;0;3
92;07.01.2015;20:00:00;20;Mittwoch;01;657;10;6.5;79;30.5;3;0;0;3
93;07.01.2015;21:00:00;21;Mittwoch;01;516;10;7;82;27;7;0;0;3
94;07.01.2015;22:00:00;22;Mittwoch;01;414;10;7;82;27;7;0;0;3
95;07.01.2015;23:00:00;23;Mittwoch;01;206;10;7;85;24;7;0;0;3
96;08.01.2015;00:00:00;00;Donnerstag;01;123;11;11;82;26;4;0;0;3
97;08.01.2015;01:00:00;01;Donnerstag;01;56;11.5;11.5;85;24;3;0;0;3
98;08.01.2015;02:00:00;02;Donnerstag;01;51;12;12;82;25;3;0;0;3
99;08.01.2015;03:00:00;03;Donnerstag;01;33;12;12;85;22;3;0;0;3
100;08.01.2015;04:00:00;04;Donnerstag;01;32;12;12;88;20.5;7;0;0;3
101;08.01.2015;05:00:00;05;Donnerstag;01;87;12;12;80;20.5;7;0;0;3
102;08.01.2015;06:00:00;06;Donnerstag;01;511;11.5;11.5;74.5;17;3;0;0;3
103;08.01.2015;07:00:00;07;Donnerstag;01;982;10.5;9.5;82.5;17;7;0;0;3
104;08.01.2015;08:00:00;08;Donnerstag;01;1228;9.5;7.5;87.5;14;7;0;0;3
105;08.01.2015;09:00:00;09;Donnerstag;01;573;9;7;87;13;7;0;0;3
106;08.01.2015;10:00:00;10;Donnerstag;01;185;9;7;87;14;7;0;0;3
107;08.01.2015;11:00:00;11;Donnerstag;01;193;9;6;82;20.5;7;0;0;3
108;08.01.2015;12:00:00;12;Donnerstag;01;522;9;6.5;84.5;17;2;0;0;3
109;08.01.2015;13:00:00;13;Donnerstag;01;672;9;5.5;79;27;2;0;0;3
110;08.01.2015;14:00:00;14;Donnerstag;01;761;10;7;71;22;2;0;0;3
111;08.01.2015;15:00:00;15;Donnerstag;01;781;9;6;71;22;2;0;0;3
112;08.01.2015;16:00:00;16;Donnerstag;01;1212;9;6;71;19.5;2;0;0;3
113;08.01.2015;17:00:00;17;Donnerstag;01;2351;9;6;76;22;2;0;0;3
114;08.01.2015;18:00:00;18;Donnerstag;01;2110;8.5;5.5;73.5;22.5;1;0;0;3
115;08.01.2015;19:00:00;19;Donnerstag;01;1239;8;5;73.5;20.5;1;0;0;3
116;08.01.2015;20:00:00;20;Donnerstag;01;752;8;5;76;17;1;0;0;3
117;08.01.2015;21:00:00;21;Donnerstag;01;457;8;4.5;76;20.5;1;0;0;3
118;08.01.2015;22:00:00;22;Donnerstag;01;423;8.5;5.5;73.5;21;1;0;0;3
119;08.01.2015;23:00:00;23;Donnerstag;01;267;9;5.5;76;27;2;0;0;3
120;09.01.2015;00:00:00;00;Freitag;01;147;10;7;71;28;2;0;0;3
121;09.01.2015;01:00:00;01;Freitag;01;60;10;7;73.5;30;7;0;0;3
122;09.01.2015;02:00:00;02;Freitag;01;65;10;6.5;79;29.5;7;0;0;3
123;09.01.2015;03:00:00;03;Freitag;01;42;11;11;79.5;29;3;0;0;3
124;09.01.2015;04:00:00;04;Freitag;01;47;11;11;85;33;3;0;0;3
125;09.01.2015;05:00:00;05;Freitag;01;85;11.5;11.5;85;33;3;0;0;3
126;09.01.2015;06:00:00;06;Freitag;01;441;12;12;82;32.5;3;0;0;3
127;09.01.2015;07:00:00;07;Freitag;01;1593;12;12;82;31.5;3;0;0;3
128;09.01.2015;08:00:00;08;Freitag;01;3505;12;12;79.5;25;2;0;0;3
129;09.01.2015;09:00:00;09;Freitag;01;1768;12;12;74.5;30;2;0;0;3
130;09.01.2015;10:00:00;10;Freitag;01;799;12.5;12.5;69.5;29.5;1;0;0;3
131;09.01.2015;11:00:00;11;Freitag;01;806;13;13;67;28;1;0;0;3
132;09.01.2015;12:00:00;12;Freitag;01;1052;13;13;67;26;1;0;0;3
133;09.01.2015;13:00:00;13;Freitag;01;1078;13;13;63;30;1;0;0;3
134;09.01.2015;14:00:00;14;Freitag;01;976;13;13;63;26;2;0;0;3
135;09.01.2015;15:00:00;15;Freitag;01;912;13.5;13.5;67.5;33.5;7;0;0;3
136;09.01.2015;16:00:00;16;Freitag;01;1229;13;13;79.5;37;7;0;0;3
137;09.01.2015;17:00:00;17;Freitag;01;2409;13.5;13.5;85;35;7;0;0;3
138;09.01.2015;18:00:00;18;Freitag;01;1983;15;15;82;36;7;0;0;3
139;09.01.2015;19:00:00;19;Freitag;01;1094;15.5;15.5;77;41;7;0;0;3
140;09.01.2015;20:00:00;20;Freitag;01;686;15;15;72;44;3;0;0;3
141;09.01.2015;21:00:00;21;Freitag;01;443;15;15;68;41;3;0;0;3
142;09.01.2015;22:00:00;22;Freitag;01;464;15;15;68;40;3;0;0;3
143;09.01.2015;23:00:00;23;Freitag;01;420;14;14;77;41.5;4;0;0;3
144;10.01.2015;00:00:00;00;Samstag;01;392;14;14;77;39;4;0;1;3
145;10.01.2015;01:00:00;01;Samstag;01;277;14;14;77;40;4;0;1;3
146;10.01.2015;02:00:00;02;Samstag;01;189;14;14;72;40.5;3;0;1;3
147;10.01.2015;03:00:00;03;Samstag;01;153;13;13;77;41;3;0;1;3
148;10.01.2015;04:00:00;04;Samstag;01;90;13;13;77;36;3;0;1;3
149;10.01.2015;05:00:00;05;Samstag;01;52;13;13;77;35;3;0;1;3
150;10.01.2015;06:00:00;06;Samstag;01;69;13;13;82;35;7;0;1;3
151;10.01.2015;07:00:00;07;Samstag;01;143;13;13;79.5;35;3;0;1;3
152;10.01.2015;08:00:00;08;Samstag;01;321;14;14;74.5;40;3;0;1;3
153;10.01.2015;09:00:00;09;Samstag;01;619;14;14;77;48;3;0;1;3
154;10.01.2015;10:00:00;10;Samstag;01;757;14;14;74.5;41;7;0;1;3
155;10.01.2015;11:00:00;11;Samstag;01;800;11.5;11.5;67.5;42.5;3;0;1;3
156;10.01.2015;12:00:00;12;Samstag;01;1191;11.5;11.5;58;41.5;2;0;1;3
157;10.01.2015;13:00:00;13;Samstag;01;1395;10.5;8.5;54;38;3;0;1;3
158;10.01.2015;14:00:00;14;Samstag;01;1358;9;4.5;54;42.5;3;0;1;3
159;10.01.2015;15:00:00;15;Samstag;01;1436;9;5;48;35;2;0;1;3
160;10.01.2015;16:00:00;16;Samstag;01;1270;8;4;51.5;27;1;0;1;3
161;10.01.2015;17:00:00;17;Samstag;01;1054;8;4;51.5;29;2;0;1;3
162;10.01.2015;18:00:00;18;Samstag;01;849;7;3;55;26;1;0;1;3
163;10.01.2015;19:00:00;19;Samstag;01;720;6;2;57;26;1;0;1;3
164;10.01.2015;20:00:00;20;Samstag;01;556;6;2;57;25;1;0;1;3
165;10.01.2015;21:00:00;21;Samstag;01;349;6;2;57;21;1;0;1;3
166;10.01.2015;22:00:00;22;Samstag;01;335;5;1;66;20;1;0;1;3
167;10.01.2015;23:00:00;23;Samstag;01;334;5;1;66;19.5;1;0;1;3
168;11.01.2015;00:00:00;00;Sonntag;01;360;4.5;0.5;72.5;22;1;0;1;3
169;11.01.2015;01:00:00;01;Sonntag;01;255;4;-0.5;75;22;1;0;1;3
170;11.01.2015;02:00:00;02;Sonntag;01;198;4;-0.5;75;23;1;0;1;3
171;11.01.2015;03:00:00;03;Sonntag;01;135;4;-1;75;27;2;0;1;3
172;11.01.2015;04:00:00;04;Sonntag;01;74;4;-1;72.5;28;1;0;1;3
173;11.01.2015;05:00:00;05;Sonntag;01;57;4;-1;70;27;1;0;1;3
174;11.01.2015;06:00:00;06;Sonntag;01;67;4.5;0;68;24;1;0;1;3
175;11.01.2015;07:00:00;07;Sonntag;01;93;5;1;66;24;1;0;1;3
176;11.01.2015;08:00:00;08;Sonntag;01;241;5;0;66;29.5;1;0;1;3
177;11.01.2015;09:00:00;09;Sonntag;01;538;5.5;0.5;63.5;29;1;0;1;3
178;11.01.2015;10:00:00;10;Sonntag;01;922;6.5;2;61;30;1;0;1;3
179;11.01.2015;11:00:00;11;Sonntag;01;1248;7.5;3.5;59;27;1;0;1;3
180;11.01.2015;12:00:00;12;Sonntag;01;1555;8.5;4.5;55.5;27;1;0;1;3
181;11.01.2015;13:00:00;13;Sonntag;01;1813;9;5;56;28;2;0;1;3
182;11.01.2015;14:00:00;14;Sonntag;01;1639;9;5;60;28;2;0;1;3
183;11.01.2015;15:00:00;15;Sonntag;01;1464;8.5;5;64;26;3;0;1;3
184;11.01.2015;16:00:00;16;Sonntag;01;1097;8;4.5;66;23;3;0;1;3
185;11.01.2015;17:00:00;17;Sonntag;01;827;8;5;71;20.5;7;0;1;3
186;11.01.2015;18:00:00;18;Sonntag;01;519;8;4;73.5;25;7;0;1;3
187;11.01.2015;19:00:00;19;Sonntag;01;493;8;4;73.5;24;3;0;1;3
188;11.01.2015;20:00:00;20;Sonntag;01;315;8;4.5;71;26;7;0;1;3
189;11.01.2015;21:00:00;21;Sonntag;01;260;8;4;71;30;7;0;1;3
190;11.01.2015;22:00:00;22;Sonntag;01;237;9;5;66;37;7;0;1;3
191;11.01.2015;23:00:00;23;Sonntag;01;168;9;5;71;30.5;3;0;1;3
192;12.01.2015;00:00:00;00;Montag;01;117;9;5;68.5;29;2;0;0;3
193;12.01.2015;01:00:00;01;Montag;01;45;10;6;60;34;4;0;0;3
194;12.01.2015;02:00:00;02;Montag;01;29;10;7;64.5;30;4;0;0;3
195;12.01.2015;03:00:00;03;Montag;01;36;10;6.5;67;30.5;3;0;0;3
196;12.01.2015;04:00:00;04;Montag;01;26;10;6.5;67;33.5;3;0;0;3
197;12.01.2015;05:00:00;05;Montag;01;86;10;6;67;35;3;0;0;3
198;12.01.2015;06:00:00;06;Montag;01;433;10;6;73.5;31;7;0;0;3
199;12.01.2015;07:00:00;07;Montag;01;1541;10;7;76;30;7;0;0;3
200;12.01.2015;08:00:00;08;Montag;01;3418;10;6;76;31;3;0;0;3
201;12.01.2015;09:00:00;09;Montag;01;1832;11.5;11.5;67;32.5;3;0;0;3
202;12.01.2015;10:00:00;10;Montag;01;723;12;12;67;33;3;0;0;3
203;12.01.2015;11:00:00;11;Montag;01;654;12;12;74.5;39;3;0;0;3
204;12.01.2015;12:00:00;12;Montag;01;700;12;12;79.5;29.5;3;0;0;3
205;12.01.2015;13:00:00;13;Montag;01;631;12;12;79.5;29.5;3;0;0;3
206;12.01.2015;14:00:00;14;Montag;01;520;12.5;12.5;77;33;7;0;0;3
207;12.01.2015;15:00:00;15;Montag;01;374;12;12;82;25;7;0;0;3
208;12.01.2015;16:00:00;16;Montag;01;669;12;12;82;22.5;7;0;0;3
209;12.01.2015;17:00:00;17;Montag;01;1510;11.5;11.5;88;22;7;0;0;3
210;12.01.2015;18:00:00;18;Montag;01;1186;11;11;94;22;7;0;0;3
211;12.01.2015;19:00:00;19;Montag;01;1136;11.5;11.5;85;22;7;0;0;3
212;12.01.2015;20:00:00;20;Montag;01;753;12;12;82;20;4;0;0;3
213;12.01.2015;21:00:00;21;Montag;01;510;12;12;85;18.5;7;0;0;3
214;12.01.2015;22:00:00;22;Montag;01;184;12;12;88;21;7;0;0;3
215;12.01.2015;23:00:00;23;Montag;01;86;12;12;88;23;7;0;0;3
216;13.01.2015;00:00:00;00;Dienstag;01;64;12;12;88;25;7;0;0;3
217;13.01.2015;01:00:00;01;Dienstag;01;29;12;12;88;30;7;0;0;3
218;13.01.2015;02:00:00;02;Dienstag;01;21;11.5;11.5;88;24.5;7;0;0;3
219;13.01.2015;03:00:00;03;Dienstag;01;13;11;11;85;19;7;0;0;3
220;13.01.2015;04:00:00;04;Dienstag;01;33;11;11;82;21;7;0;0;3
221;13.01.2015;05:00:00;05;Dienstag;01;113;10.5;9;79.5;21;7;0;0;3
222;13.01.2015;06:00:00;06;Dienstag;01;600;10;7.5;82;20.5;2;0;0;3
223;13.01.2015;07:00:00;07;Dienstag;01;1584;9.5;6.5;79;21;7;0;0;3
224;13.01.2015;08:00:00;08;Dienstag;01;3960;9;6.5;71;16;2;0;0;3
225;13.01.2015;09:00:00;09;Dienstag;01;2090;9;6;71;18;2;0;0;3
226;13.01.2015;10:00:00;10;Dienstag;01;960;9;6.5;71;17.5;1;0;0;3
227;13.01.2015;11:00:00;11;Dienstag;01;866;9;6;68.5;18;2;0;0;3
228;13.01.2015;12:00:00;12;Dienstag;01;1019;9.5;6.5;64;20.5;7;0;0;3
229;13.01.2015;13:00:00;13;Dienstag;01;719;9;5.5;73.5;27.5;7;0;0;3
230;13.01.2015;14:00:00;14;Dienstag;01;811;8.5;4.5;71;29;7;0;0;3
231;13.01.2015;15:00:00;15;Dienstag;01;883;8;4.5;73.5;21.5;2;0;0;3
232;13.01.2015;16:00:00;16;Dienstag;01;1391;7.5;4;68.5;23;2;0;0;3
233;13.01.2015;17:00:00;17;Dienstag;01;2886;7;3;71;22;2;0;0;3
234;13.01.2015;18:00:00;18;Dienstag;01;2659;7;4.5;71;14;7;0;0;3
235;13.01.2015;19:00:00;19;Dienstag;01;1548;6;2.5;76;19.5;7;0;0;3
236;13.01.2015;20:00:00;20;Dienstag;01;947;5.5;1.5;76;21;2;0;0;3
237;13.01.2015;21:00:00;21;Dienstag;01;660;5;1;76;23;2;0;0;3
238;13.01.2015;22:00:00;22;Dienstag;01;501;5;2;76;17;1;0;0;3
239;13.01.2015;23:00:00;23;Dienstag;01;340;5;1;70;19.5;1;0;0;3
240;14.01.2015;00:00:00;00;Mittwoch;01;168;5;0.5;66;26;1;0;0;3
241;14.01.2015;01:00:00;01;Mittwoch;01;79;5;0;66;30;1;0;0;3
242;14.01.2015;02:00:00;02;Mittwoch;01;60;5;0.5;66;24;1;0;0;3
243;14.01.2015;03:00:00;03;Mittwoch;01;54;4.5;0.5;72.5;21;1;0;0;3
244;14.01.2015;04:00:00;04;Mittwoch;01;44;4.5;1.5;72.5;14;1;0;0;3
245;14.01.2015;05:00:00;05;Mittwoch;01;93;5;1.5;70;17.5;1;0;0;3
246;14.01.2015;06:00:00;06;Mittwoch;01;560;5;1;70;23;3;0;0;3
247;14.01.2015;07:00:00;07;Mittwoch;01;1820;4.5;-1;68;30.5;2;0;0;3
248;14.01.2015;08:00:00;08;Mittwoch;01;3904;4;-1;70;26;2;0;0;3
249;14.01.2015;09:00:00;09;Mittwoch;01;2064;4.5;-0.5;68;29;2;0;0;3
250;14.01.2015;10:00:00;10;Mittwoch;01;841;5;0;70;30.5;2;0;0;3
251;14.01.2015;11:00:00;11;Mittwoch;01;732;5.5;1;65.5;27;2;0;0;3
252;14.01.2015;12:00:00;12;Mittwoch;01;1013;6.5;2.5;59;27;2;0;0;3
253;14.01.2015;13:00:00;13;Mittwoch;01;1066;7;3;57;24;2;0;0;3
254;14.01.2015;14:00:00;14;Mittwoch;01;913;7;3.5;55;22;2;0;0;3
255;14.01.2015;15:00:00;15;Mittwoch;01;969;7;4;55;18;1;0;0;3
256;14.01.2015;16:00:00;16;Mittwoch;01;1365;7;4.5;59;16;1;0;0;3
257;14.01.2015;17:00:00;17;Mittwoch;01;2638;7.5;4.5;64;16;2;0;0;3
258;14.01.2015;18:00:00;18;Mittwoch;01;1974;8;4.5;71;21.5;2;0;0;3
259;14.01.2015;19:00:00;19;Mittwoch;01;1254;9;5.5;71;27;3;0;0;3
260;14.01.2015;20:00:00;20;Mittwoch;01;885;10;6;69;31;3;0;0;3
261;14.01.2015;21:00:00;21;Mittwoch;01;537;10;6;71;38;7;0;0;3
262;14.01.2015;22:00:00;22;Mittwoch;01;344;9.5;5.5;76.5;39;7;0;0;3
263;14.01.2015;23:00:00;23;Mittwoch;01;188;10;6;79;40;26;0;0;3
264;15.01.2015;00:00:00;00;Donnerstag;01;91;10;6;82;40;7;0;0;3
265;15.01.2015;01:00:00;01;Donnerstag;01;66;11;11;79.5;40;26;0;0;3
266;15.01.2015;02:00:00;02;Donnerstag;01;25;11;11;82;44.5;26;0;0;3
267;15.01.2015;03:00:00;03;Donnerstag;01;23;11.5;11.5;79.5;45;7;0;0;3
268;15.01.2015;04:00:00;04;Donnerstag;01;23;11;11;77;37;26;0;0;3
269;15.01.2015;05:00:00;05;Donnerstag;01;62;10;6.5;79;31.5;7;0;0;3
270;15.01.2015;06:00:00;06;Donnerstag;01;481;9.5;5.5;73.5;29.5;7;0;0;3
271;15.01.2015;07:00:00;07;Donnerstag;01;1692;9;6;73.5;23;2;0;0;3
272;15.01.2015;08:00:00;08;Donnerstag;01;3673;9;6;66;21;1;0;0;3
273;15.01.2015;09:00:00;09;Donnerstag;01;1941;9;6;73.5;19.5;2;0;0;3
274;15.01.2015;10:00:00;10;Donnerstag;01;844;9;6;76;21;2;0;0;3
275;15.01.2015;11:00:00;11;Donnerstag;01;729;9;6;66;26;2;0;0;3
276;15.01.2015;12:00:00;12;Donnerstag;01;835;8.5;5;71;25;7;0;0;3
277;15.01.2015;13:00:00;13;Donnerstag;01;1005;9;5;64;32.5;2;0;0;3
278;15.01.2015;14:00:00;14;Donnerstag;01;828;9;5;60;30.5;2;0;0;3
279;15.01.2015;15:00:00;15;Donnerstag;01;912;9;5;52;36;2;0;0;3
280;15.01.2015;16:00:00;16;Donnerstag;01;1249;8;4;53;29;2;0;0;3
281;15.01.2015;17:00:00;17;Donnerstag;01;2524;7.5;3.5;55;29.5;2;0;0;3
282;15.01.2015;18:00:00;18;Donnerstag;01;2480;7;3;57;29.5;2;0;0;3
283;15.01.2015;19:00:00;19;Donnerstag;01;1353;8;4;51.5;29.5;2;0;0;3
284;15.01.2015;20:00:00;20;Donnerstag;01;810;7;2;51;34;2;0;0;3
285;15.01.2015;21:00:00;21;Donnerstag;01;591;6.5;1.5;57;32;1;0;0;3
286;15.01.2015;22:00:00;22;Donnerstag;01;430;6.5;1.5;59;33;2;0;0;3
287;15.01.2015;23:00:00;23;Donnerstag;01;301;7;3;57;29.5;1;0;0;3
288;16.01.2015;00:00:00;00;Freitag;01;208;7;3;53;31;1;0;0;3
289;16.01.2015;01:00:00;01;Freitag;01;117;7;3;53;27.5;1;0;0;3
290;16.01.2015;02:00:00;02;Freitag;01;71;6.5;2.5;59;22;1;0;0;3
291;16.01.2015;03:00:00;03;Freitag;01;59;6.5;2.5;59;25;1;0;0;3
292;16.01.2015;04:00:00;04;Freitag;01;46;6.5;3;55;20.5;1;0;0;3
293;16.01.2015;05:00:00;05;Freitag;01;88;6.5;3;55;20.5;1;0;0;3
294;16.01.2015;06:00:00;06;Freitag;01;471;7;4;55;18.5;1;0;0;3
295;16.01.2015;07:00:00;07;Freitag;01;1648;7;4.5;59;15;7;0;0;3
296;16.01.2015;08:00:00;08;Freitag;01;3546;7;4.5;61;15;3;0;0;3
297;16.01.2015;09:00:00;09;Freitag;01;1980;6;3;71;13;2;0;0;3
298;16.01.2015;10:00:00;10;Freitag;01;878;6.5;3.5;68.5;17;2;0;0;3
299;16.01.2015;11:00:00;11;Freitag;01;795;6;2.5;76;19.5;2;0;0;3
300;16.01.2015;12:00:00;12;Freitag;01;994;6;3;73.5;17;2;0;0;3
301;16.01.2015;13:00:00;13;Freitag;01;1122;7;4;68.5;15;2;0;0;3
302;16.01.2015;14:00:00;14;Freitag;01;941;7;4.5;66;15;2;0;0;3
303;16.01.2015;15:00:00;15;Freitag;01;1104;7;4;66;15;2;0;0;3
304;16.01.2015;16:00:00;16;Freitag;01;1149;6;2;68.5;23.5;7;0;0;3
305;16.01.2015;17:00:00;17;Freitag;01;2348;5.5;2.5;76;14;2;0;0;3
306;16.01.2015;18:00:00;18;Freitag;01;2002;5;1.5;73;16;3;0;0;3
307;16.01.2015;19:00:00;19;Freitag;01;1183;4;1;72.5;12;1;0;0;3
