hr;weekdays;cnt
5;Freitag;85
6;Freitag;441
7;Freitag;1593
8;Freitag;3505
9;Freitag;1768
10;Freitag;799
11;Freitag;806
12;Freitag;1052
13;Freitag;1078
14;Freitag;976
15;Freitag;912
16;Freitag;1229
17;Freitag;2409
18;Freitag;1983
19;Freitag;1094
20;Freitag;686
21;Freitag;443
22;Freitag;464
23;Freitag;420
0;Samstag;392
1;Samstag;277
2;Samstag;189
3;Samstag;153
4;Samstag;90
5;Samstag;52
6;Samstag;69
7;Samstag;143
8;Samstag;321
9;Samstag;619
10;Samstag;757
11;Samstag;800
12;Samstag;1191
13;Samstag;1395
14;Samstag;1358
15;Samstag;1436
16;Samstag;1270
17;Samstag;1054
18;Samstag;849
19;Samstag;720
20;Samstag;556
21;Samstag;349
22;Samstag;335
23;Samstag;334
0;Sonntag;360
1;Sonntag;255
2;Sonntag;198
3;Sonntag;135
4;Sonntag;74
5;Sonntag;57
6;Sonntag;67
7;Sonntag;93
8;Sonntag;241
9;Sonntag;538
10;Sonntag;922
11;Sonntag;1248
12;Sonntag;1555
13;Sonntag;1813
14;Sonntag;1639
15;Sonntag;1464
16;Sonntag;1097
17;Sonntag;827
18;Sonntag;519
19;Sonntag;493
20;Sonntag;315
21;Sonntag;260
22;Sonntag;237
23;Sonntag;168
0;Montag;117
1;Montag;45
2;Montag;29
3;Montag;36
4;Montag;26
5;Montag;86
6;Montag;433
7;Montag;1541
8;Montag;3418
9;Montag;1832
10;Montag;723
11;Montag;654
12;Montag;700
13;Montag;631
14;Montag;520
15;Montag;374
16;Montag;669
17;Montag;1510
18;Montag;1186
19;Montag;1136
20;Montag;753
21;Montag;510
22;Montag;184
23;Montag;86
0;Dienstag;64
1;Dienstag;29
2;Dienstag;21
3;Dienstag;13
4;Dienstag;33
5;Dienstag;113
6;Dienstag;600
7;Dienstag;1584
8;Dienstag;3960
9;Dienstag;2090
10;Dienstag;960
11;Dienstag;866
12;Dienstag;1019
13;Dienstag;719
14;Dienstag;811
15;Dienstag;883
16;Dienstag;1391
17;Dienstag;2886
18;Dienstag;2659
19;Dienstag;1548
20;Dienstag;947
21;Dienstag;660
22;Dienstag;501
23;Dienstag;340
0;Mittwoch;168
1;Mittwoch;79
2;Mittwoch;60
3;Mittwoch;54
4;Mittwoch;44
5;Mittwoch;93
6;Mittwoch;560
7;Mittwoch;1820
8;Mittwoch;3904
9;Mittwoch;2064
10;Mittwoch;841
11;Mittwoch;732
12;Mittwoch;1013
13;Mittwoch;1066
14;Mittwoch;913
15;Mittwoch;969
16;Mittwoch;1365
17;Mittwoch;2638
18;Mittwoch;1974
19;Mittwoch;1254
20;Mittwoch;885
21;Mittwoch;537
22;Mittwoch;344
23;Mittwoch;188
0;Donnerstag;91
1;Donnerstag;66
2;Donnerstag;25
3;Donnerstag;23
4;Donnerstag;23
5;Donnerstag;62
6;Donnerstag;481
7;Donnerstag;1692
8;Donnerstag;3673
9;Donnerstag;1941
10;Donnerstag;844
11;Donnerstag;729
12;Donnerstag;835
13;Donnerstag;1005
14;Donnerstag;828
15;Donnerstag;912
16;Donnerstag;1249
17;Donnerstag;2524
18;Donnerstag;2480
19;Donnerstag;1353
20;Donnerstag;810
21;Donnerstag;591
22;Donnerstag;430
23;Donnerstag;301
0;Freitag;208
1;Freitag;117
2;Freitag;71
3;Freitag;59
4;Freitag;46
5;Freitag;88
6;Freitag;471
7;Freitag;1648
8;Freitag;3546
9;Freitag;1980
10;Freitag;878
11;Freitag;795
12;Freitag;994
13;Freitag;1122
14;Freitag;941
15;Freitag;1104
16;Freitag;1149
17;Freitag;2348
18;Freitag;2002
19;Freitag;1183
20;Freitag;693
21;Freitag;473
22;Freitag;386
23;Freitag;361
0;Samstag;328
1;Samstag;220
2;Samstag;199
3;Samstag;144
4;Samstag;76
5;Samstag;68
6;Samstag;70
7;Samstag;154
8;Samstag;350
9;Samstag;682
10;Samstag;784
11;Samstag;998
12;Samstag;1360
13;Samstag;1421
14;Samstag;1531
15;Samstag;1527
16;Samstag;1257
17;Samstag;997
18;Samstag;765
19;Samstag;719
20;Samstag;525
21;Samstag;415
22;Samstag;328
23;Samstag;350
0;Sonntag;383
1;Sonntag;268
2;Sonntag;268
3;Sonntag;140
4;Sonntag;73
5;Sonntag;53
6;Sonntag;54
7;Sonntag;97
8;Sonntag;210
9;Sonntag;406
10;Sonntag;693
11;Sonntag;906
12;Sonntag;1244
13;Sonntag;1401
14;Sonntag;1313
15;Sonntag;1450
16;Sonntag;1111
17;Sonntag;844
18;Sonntag;694
19;Sonntag;510
20;Sonntag;370
21;Sonntag;265
22;Sonntag;249
23;Sonntag;197
0;Montag;128
1;Montag;57
2;Montag;30
3;Montag;32
4;Montag;36
5;Montag;88
6;Montag;472
7;Montag;1695
8;Montag;3554
9;Montag;1828
10;Montag;794
11;Montag;688
12;Montag;923
13;Montag;913
14;Montag;815
15;Montag;908
16;Montag;1257
17;Montag;2774
18;Montag;2543
19;Montag;1442
20;Montag;893
21;Montag;561
22;Montag;356
23;Montag;247
0;Dienstag;85
1;Dienstag;49
2;Dienstag;40
3;Dienstag;18
4;Dienstag;32
5;Dienstag;80
6;Dienstag;520
7;Dienstag;1791
8;Dienstag;3700
9;Dienstag;1818
10;Dienstag;806
11;Dienstag;636
12;Dienstag;894
13;Dienstag;966
14;Dienstag;806
15;Dienstag;897
16;Dienstag;1287
17;Dienstag;2683
18;Dienstag;2624
19;Dienstag;1448
20;Dienstag;758
21;Dienstag;603
22;Dienstag;447
23;Dienstag;259
0;Mittwoch;151
1;Mittwoch;70
2;Mittwoch;56
3;Mittwoch;24
4;Mittwoch;41
5;Mittwoch;81
6;Mittwoch;522
7;Mittwoch;1656
8;Mittwoch;3655
9;Mittwoch;1976
10;Mittwoch;821
11;Mittwoch;666
12;Mittwoch;805
13;Mittwoch;821
14;Mittwoch;701
15;Mittwoch;759
16;Mittwoch;1217
17;Mittwoch;2503
18;Mittwoch;2511
19;Mittwoch;1359
20;Mittwoch;890
21;Mittwoch;666
22;Mittwoch;480
23;Mittwoch;351
0;Donnerstag;138
1;Donnerstag;81
2;Donnerstag;54
3;Donnerstag;37
4;Donnerstag;39
5;Donnerstag;89
6;Donnerstag;512
7;Donnerstag;1677
8;Donnerstag;3828
9;Donnerstag;1911
10;Donnerstag;789
11;Donnerstag;713
12;Donnerstag;914
13;Donnerstag;935
14;Donnerstag;867
15;Donnerstag;885
16;Donnerstag;1328
17;Donnerstag;2457
18;Donnerstag;2422
19;Donnerstag;1350
20;Donnerstag;850
21;Donnerstag;640
22;Donnerstag;438
23;Donnerstag;324
0;Freitag;171
1;Freitag;96
2;Freitag;58
3;Freitag;41
4;Freitag;31
5;Freitag;80
6;Freitag;426
7;Freitag;1494
8;Freitag;3328
9;Freitag;1839
10;Freitag;894
11;Freitag;794
12;Freitag;1084
13;Freitag;1053
14;Freitag;1005
15;Freitag;1002
16;Freitag;1421
17;Freitag;2388
18;Freitag;1946
19;Freitag;1126
20;Freitag;687
21;Freitag;421
22;Freitag;208
23;Freitag;299
0;Samstag;186
1;Samstag;141
2;Samstag;142
3;Samstag;121
4;Samstag;70
5;Samstag;61
6;Samstag;76
7;Samstag;142
8;Samstag;318
9;Samstag;723
10;Samstag;1086
11;Samstag;1411
12;Samstag;1636
13;Samstag;1769
14;Samstag;1796
15;Samstag;1798
16;Samstag;1597
17;Samstag;1226
18;Samstag;837
19;Samstag;709
20;Samstag;526
21;Samstag;393
22;Samstag;401
23;Samstag;374
0;Sonntag;347
1;Sonntag;261
2;Sonntag;216
3;Sonntag;162
4;Sonntag;107
5;Sonntag;70
6;Sonntag;83
7;Sonntag;108
8;Sonntag;226
9;Sonntag;529
10;Sonntag;857
11;Sonntag;1195
12;Sonntag;1478
13;Sonntag;1705
14;Sonntag;1519
15;Sonntag;1477
16;Sonntag;1238
17;Sonntag;875
18;Sonntag;810
19;Sonntag;566
20;Sonntag;423
21;Sonntag;335
22;Sonntag;297
23;Sonntag;210
0;Montag;115
1;Montag;74
2;Montag;34
3;Montag;33
4;Montag;47
5;Montag;88
6;Montag;472
7;Montag;1619
8;Montag;3589
9;Montag;1844
10;Montag;603
11;Montag;621
12;Montag;841
13;Montag;884
14;Montag;796
15;Montag;904
16;Montag;1319
17;Montag;2723
18;Montag;2509
19;Montag;1457
20;Montag;941
21;Montag;550
22;Montag;433
23;Montag;214
0;Dienstag;133
1;Dienstag;69
2;Dienstag;30
3;Dienstag;33
4;Dienstag;43
5;Dienstag;88
6;Dienstag;571
7;Dienstag;1913
8;Dienstag;3835
9;Dienstag;1900
10;Dienstag;874
11;Dienstag;763
12;Dienstag;999
13;Dienstag;977
14;Dienstag;866
15;Dienstag;976
16;Dienstag;1346
17;Dienstag;2724
18;Dienstag;2750
19;Dienstag;1539
20;Dienstag;1001
21;Dienstag;642
22;Dienstag;566
23;Dienstag;362
0;Mittwoch;190
1;Mittwoch;78
2;Mittwoch;57
3;Mittwoch;59
4;Mittwoch;39
5;Mittwoch;99
6;Mittwoch;575
7;Mittwoch;1536
8;Mittwoch;3576
9;Mittwoch;1788
10;Mittwoch;522
11;Mittwoch;558
12;Mittwoch;624
13;Mittwoch;629
14;Mittwoch;665
15;Mittwoch;823
16;Mittwoch;1269
17;Mittwoch;2426
18;Mittwoch;2377
19;Mittwoch;1413
20;Mittwoch;854
21;Mittwoch;652
22;Mittwoch;451
23;Mittwoch;276
0;Donnerstag;122
1;Donnerstag;106
2;Donnerstag;34
3;Donnerstag;38
4;Donnerstag;33
5;Donnerstag;76
6;Donnerstag;529
7;Donnerstag;1760
8;Donnerstag;3783
9;Donnerstag;1905
10;Donnerstag;811
11;Donnerstag;700
12;Donnerstag;889
13;Donnerstag;894
14;Donnerstag;757
15;Donnerstag;580
16;Donnerstag;922
17;Donnerstag;1984
18;Donnerstag;2076
19;Donnerstag;1237
20;Donnerstag;770
21;Donnerstag;525
22;Donnerstag;430
23;Donnerstag;314
0;Freitag;190
1;Freitag;80
2;Freitag;79
3;Freitag;60
4;Freitag;45
5;Freitag;74
6;Freitag;426
7;Freitag;1388
8;Freitag;3090
9;Freitag;1667
10;Freitag;766
11;Freitag;762
12;Freitag;967
13;Freitag;923
14;Freitag;849
15;Freitag;911
16;Freitag;1452
17;Freitag;2350
18;Freitag;1940
19;Freitag;1131
20;Freitag;734
21;Freitag;506
22;Freitag;384
23;Freitag;397
0;Samstag;379
1;Samstag;281
2;Samstag;252
3;Samstag;163
4;Samstag;96
5;Samstag;80
6;Samstag;62
7;Samstag;129
8;Samstag;182
9;Samstag;468
10;Samstag;705
11;Samstag;926
12;Samstag;816
13;Samstag;409
14;Samstag;521
15;Samstag;632
16;Samstag;795
17;Samstag;840
18;Samstag;635
19;Samstag;565
20;Samstag;447
21;Samstag;305
22;Samstag;276
23;Samstag;286
0;Sonntag;273
1;Sonntag;246
2;Sonntag;156
3;Sonntag;83
4;Sonntag;59
5;Sonntag;43
6;Sonntag;50
7;Sonntag;90
8;Sonntag;208
9;Sonntag;411
10;Sonntag;655
11;Sonntag;884
12;Sonntag;1117
13;Sonntag;1083
14;Sonntag;1082
15;Sonntag;1007
16;Sonntag;970
17;Sonntag;724
18;Sonntag;624
19;Sonntag;502
20;Sonntag;380
21;Sonntag;256
22;Sonntag;244
23;Sonntag;158
0;Montag;124
1;Montag;64
2;Montag;40
3;Montag;77
4;Montag;37
5;Montag;72
6;Montag;407
7;Montag;1543
8;Montag;3556
9;Montag;1704
10;Montag;737
11;Montag;686
12;Montag;765
13;Montag;817
14;Montag;761
15;Montag;766
16;Montag;1185
17;Montag;2534
18;Montag;2476
19;Montag;1394
20;Montag;842
21;Montag;508
22;Montag;343
23;Montag;202
0;Dienstag;94
1;Dienstag;64
2;Dienstag;27
3;Dienstag;20
4;Dienstag;21
5;Dienstag;63
6;Dienstag;356
7;Dienstag;1364
8;Dienstag;2972
9;Dienstag;1611
10;Dienstag;663
11;Dienstag;575
12;Dienstag;775
13;Dienstag;780
14;Dienstag;706
15;Dienstag;771
16;Dienstag;1178
17;Dienstag;2301
18;Dienstag;2236
19;Dienstag;1339
20;Dienstag;795
21;Dienstag;571
22;Dienstag;383
23;Dienstag;204
0;Mittwoch;105
1;Mittwoch;68
2;Mittwoch;47
3;Mittwoch;42
4;Mittwoch;25
5;Mittwoch;86
6;Mittwoch;493
7;Mittwoch;1696
8;Mittwoch;3502
9;Mittwoch;1806
10;Mittwoch;758
11;Mittwoch;656
12;Mittwoch;857
13;Mittwoch;813
14;Mittwoch;768
15;Mittwoch;738
16;Mittwoch;1136
17;Mittwoch;2432
18;Mittwoch;2306
19;Mittwoch;1356
20;Mittwoch;827
21;Mittwoch;596
22;Mittwoch;443
23;Mittwoch;294
0;Donnerstag;140
1;Donnerstag;84
2;Donnerstag;59
3;Donnerstag;33
4;Donnerstag;44
5;Donnerstag;100
6;Donnerstag;472
7;Donnerstag;1433
8;Donnerstag;2894
9;Donnerstag;1635
10;Donnerstag;665
11;Donnerstag;563
12;Donnerstag;789
13;Donnerstag;891
14;Donnerstag;748
15;Donnerstag;828
16;Donnerstag;1259
17;Donnerstag;2483
18;Donnerstag;2402
19;Donnerstag;1316
20;Donnerstag;875
21;Donnerstag;642
22;Donnerstag;512
23;Donnerstag;333
0;Freitag;215
1;Freitag;105
2;Freitag;67
3;Freitag;48
4;Freitag;40
5;Freitag;83
6;Freitag;431
7;Freitag;1460
8;Freitag;3214
9;Freitag;1734
10;Freitag;815
11;Freitag;705
12;Freitag;1036
13;Freitag;989
14;Freitag;836
15;Freitag;919
16;Freitag;1360
17;Freitag;2267
18;Freitag;1777
19;Freitag;1081
20;Freitag;579
21;Freitag;425
22;Freitag;456
23;Freitag;313
0;Samstag;286
1;Samstag;240
2;Samstag;179
3;Samstag;149
4;Samstag;72
5;Samstag;46
6;Samstag;65
7;Samstag;145
8;Samstag;327
9;Samstag;580
10;Samstag;812
11;Samstag;916
12;Samstag;1165
13;Samstag;1139
14;Samstag;1068
15;Samstag;1107
16;Samstag;1104
17;Samstag;965
18;Samstag;689
19;Samstag;678
20;Samstag;471
21;Samstag;302
22;Samstag;322
23;Samstag;322
0;Sonntag;336
1;Sonntag;233
2;Sonntag;197
3;Sonntag;133
4;Sonntag;97
5;Sonntag;66
6;Sonntag;55
7;Sonntag;93
8;Sonntag;230
9;Sonntag;480
10;Sonntag;893
11;Sonntag;1153
12;Sonntag;1471
13;Sonntag;1663
14;Sonntag;1824
15;Sonntag;1765
16;Sonntag;1502
17;Sonntag;1119
18;Sonntag;806
19;Sonntag;510
20;Sonntag;388
21;Sonntag;334
22;Sonntag;246
23;Sonntag;184
0;Montag;122
1;Montag;50
2;Montag;36
3;Montag;21
4;Montag;39
5;Montag;79
6;Montag;479
7;Montag;1730
8;Montag;3721
9;Montag;1729
10;Montag;773
11;Montag;736
12;Montag;993
13;Montag;1003
14;Montag;921
15;Montag;980
16;Montag;1431
17;Montag;2850
18;Montag;2577
19;Montag;1482
20;Montag;880
21;Montag;604
22;Montag;410
23;Montag;212
0;Dienstag;128
1;Dienstag;58
2;Dienstag;47
3;Dienstag;21
4;Dienstag;35
5;Dienstag;105
6;Dienstag;552
7;Dienstag;1911
8;Dienstag;3788
9;Dienstag;1918
10;Dienstag;855
11;Dienstag;719
12;Dienstag;933
13;Dienstag;954
14;Dienstag;876
15;Dienstag;955
16;Dienstag;1386
17;Dienstag;2671
18;Dienstag;2586
19;Dienstag;1453
20;Dienstag;861
22;Dienstag;464
23;Dienstag;283
0;Mittwoch;134
1;Mittwoch;61
2;Mittwoch;44
3;Mittwoch;38
4;Mittwoch;25
5;Mittwoch;81
6;Mittwoch;519
7;Mittwoch;1796
8;Mittwoch;3671
9;Mittwoch;1840
10;Mittwoch;841
11;Mittwoch;698
12;Mittwoch;924
13;Mittwoch;899
14;Mittwoch;805
15;Mittwoch;898
16;Mittwoch;1347
17;Mittwoch;2575
18;Mittwoch;2441
19;Mittwoch;1473
20;Mittwoch;884
21;Mittwoch;748
22;Mittwoch;595
23;Mittwoch;343
0;Donnerstag;201
1;Donnerstag;91
2;Donnerstag;63
3;Donnerstag;42
4;Donnerstag;51
5;Donnerstag;100
6;Donnerstag;525
7;Donnerstag;1825
8;Donnerstag;3729
9;Donnerstag;1849
10;Donnerstag;781
11;Donnerstag;692
12;Donnerstag;894
13;Donnerstag;890
14;Donnerstag;806
15;Donnerstag;828
16;Donnerstag;1234
17;Donnerstag;2423
18;Donnerstag;2434
19;Donnerstag;1350
20;Donnerstag;911
21;Donnerstag;637
22;Donnerstag;492
23;Donnerstag;379
0;Freitag;218
1;Freitag;114
2;Freitag;74
3;Freitag;37
4;Freitag;43
5;Freitag;81
6;Freitag;407
7;Freitag;1450
8;Freitag;3205
9;Freitag;1743
10;Freitag;864
11;Freitag;777
12;Freitag;971
13;Freitag;580
14;Freitag;418
15;Freitag;408
16;Freitag;979
17;Freitag;2008
18;Freitag;1274
19;Freitag;657
20;Freitag;540
21;Freitag;388
22;Freitag;276
23;Freitag;187
0;Samstag;175
1;Samstag;150
2;Samstag;160
3;Samstag;116
4;Samstag;83
5;Samstag;52
6;Samstag;85
7;Samstag;147
8;Samstag;366
9;Samstag;633
10;Samstag;931
11;Samstag;1212
12;Samstag;1475
13;Samstag;1385
14;Samstag;1117
15;Samstag;1217
16;Samstag;1131
17;Samstag;1041
18;Samstag;839
19;Samstag;635
20;Samstag;429
21;Samstag;325
22;Samstag;358
23;Samstag;361
0;Sonntag;269
1;Sonntag;217
2;Sonntag;210
3;Sonntag;144
4;Sonntag;73
5;Sonntag;71
6;Sonntag;78
7;Sonntag;83
8;Sonntag;247
9;Sonntag;506
10;Sonntag;903
11;Sonntag;1155
12;Sonntag;1494
13;Sonntag;1616
14;Sonntag;1770
15;Sonntag;1870
16;Sonntag;1841
17;Sonntag;1399
18;Sonntag;946
19;Sonntag;685
20;Sonntag;464
21;Sonntag;376
22;Sonntag;309
23;Sonntag;226
0;Montag;134
1;Montag;50
2;Montag;31
3;Montag;31
4;Montag;31
5;Montag;81
6;Montag;441
7;Montag;1572
8;Montag;3323
9;Montag;1637
10;Montag;778
11;Montag;752
12;Montag;842
13;Montag;670
14;Montag;442
15;Montag;304
16;Montag;589
17;Montag;1374
18;Montag;1196
19;Montag;748
20;Montag;452
21;Montag;372
22;Montag;325
23;Montag;206
0;Dienstag;102
1;Dienstag;47
2;Dienstag;44
3;Dienstag;25
4;Dienstag;30
5;Dienstag;91
6;Dienstag;506
7;Dienstag;1751
8;Dienstag;3582
9;Dienstag;1697
10;Dienstag;889
11;Dienstag;835
12;Dienstag;1156
13;Dienstag;1202
14;Dienstag;1063
15;Dienstag;1143
16;Dienstag;1623
17;Dienstag;2758
18;Dienstag;2574
19;Dienstag;1568
20;Dienstag;876
21;Dienstag;667
22;Dienstag;502
23;Dienstag;333
0;Mittwoch;158
1;Mittwoch;86
2;Mittwoch;30
3;Mittwoch;23
4;Mittwoch;37
5;Mittwoch;86
6;Mittwoch;509
7;Mittwoch;1717
8;Mittwoch;3582
9;Mittwoch;1789
10;Mittwoch;963
11;Mittwoch;853
12;Mittwoch;1225
13;Mittwoch;1171
14;Mittwoch;1177
15;Mittwoch;1195
16;Mittwoch;1535
17;Mittwoch;2651
18;Mittwoch;2492
19;Mittwoch;1444
20;Mittwoch;933
21;Mittwoch;622
22;Mittwoch;529
23;Mittwoch;325
0;Donnerstag;163
1;Donnerstag;109
2;Donnerstag;66
3;Donnerstag;39
4;Donnerstag;50
5;Donnerstag;70
6;Donnerstag;496
7;Donnerstag;1679
8;Donnerstag;3559
9;Donnerstag;1747
10;Donnerstag;833
11;Donnerstag;710
12;Donnerstag;892
13;Donnerstag;656
14;Donnerstag;355
15;Donnerstag;350
16;Donnerstag;635
17;Donnerstag;1229
18;Donnerstag;1271
19;Donnerstag;740
20;Donnerstag;420
21;Donnerstag;347
22;Donnerstag;276
23;Donnerstag;206
0;Freitag;134
1;Freitag;75
2;Freitag;34
3;Freitag;32
4;Freitag;29
5;Freitag;76
6;Freitag;398
7;Freitag;1333
8;Freitag;3051
9;Freitag;1631
10;Freitag;776
11;Freitag;800
12;Freitag;994
13;Freitag;1011
14;Freitag;927
15;Freitag;1002
16;Freitag;1293
17;Freitag;2241
18;Freitag;1825
19;Freitag;1102
20;Freitag;676
21;Freitag;478
22;Freitag;407
23;Freitag;390
0;Samstag;291
1;Samstag;237
2;Samstag;181
3;Samstag;142
4;Samstag;104
5;Samstag;66
6;Samstag;67
7;Samstag;137
8;Samstag;352
9;Samstag;595
10;Samstag;918
11;Samstag;1324
12;Samstag;1386
13;Samstag;1530
14;Samstag;1526
15;Samstag;1445
16;Samstag;1522
17;Samstag;1266
18;Samstag;876
19;Samstag;629
20;Samstag;536
21;Samstag;414
22;Samstag;351
23;Samstag;303
0;Sonntag;324
1;Sonntag;228
2;Sonntag;170
3;Sonntag;158
4;Sonntag;80
5;Sonntag;72
6;Sonntag;95
7;Sonntag;106
8;Sonntag;264
9;Sonntag;587
10;Sonntag;871
11;Sonntag;1140
12;Sonntag;1294
13;Sonntag;1164
14;Sonntag;677
15;Sonntag;240
16;Sonntag;237
17;Sonntag;195
18;Sonntag;255
19;Sonntag;285
20;Sonntag;183
21;Sonntag;159
22;Sonntag;162
23;Sonntag;140
0;Montag;91
1;Montag;36
2;Montag;19
3;Montag;22
4;Montag;23
5;Montag;94
6;Montag;503
7;Montag;1682
8;Montag;3618
9;Montag;1760
10;Montag;746
11;Montag;616
12;Montag;776
13;Montag;771
14;Montag;686
15;Montag;803
16;Montag;1272
17;Montag;2626
18;Montag;2470
19;Montag;1332
20;Montag;794
21;Montag;539
22;Montag;324
23;Montag;161
0;Dienstag;105
1;Dienstag;47
2;Dienstag;27
3;Dienstag;16
4;Dienstag;29
5;Dienstag;98
6;Dienstag;559
7;Dienstag;1998
8;Dienstag;3841
9;Dienstag;1819
10;Dienstag;830
11;Dienstag;725
12;Dienstag;882
13;Dienstag;946
14;Dienstag;781
15;Dienstag;914
16;Dienstag;1353
17;Dienstag;2641
18;Dienstag;2522
19;Dienstag;1392
20;Dienstag;840
21;Dienstag;605
22;Dienstag;434
23;Dienstag;284
0;Mittwoch;162
1;Mittwoch;69
2;Mittwoch;58
3;Mittwoch;34
4;Mittwoch;31
5;Mittwoch;70
6;Mittwoch;341
7;Mittwoch;1120
8;Mittwoch;2617
9;Mittwoch;1443
10;Mittwoch;747
11;Mittwoch;726
12;Mittwoch;911
13;Mittwoch;1040
14;Mittwoch;898
15;Mittwoch;988
16;Mittwoch;1452
17;Mittwoch;2651
18;Mittwoch;2424
19;Mittwoch;1394
20;Mittwoch;899
21;Mittwoch;637
22;Mittwoch;538
23;Mittwoch;342
0;Donnerstag;143
1;Donnerstag;108
2;Donnerstag;68
3;Donnerstag;39
4;Donnerstag;31
5;Donnerstag;101
6;Donnerstag;549
7;Donnerstag;1822
8;Donnerstag;3628
9;Donnerstag;1793
10;Donnerstag;662
11;Donnerstag;269
12;Donnerstag;274
13;Donnerstag;297
14;Donnerstag;371
15;Donnerstag;680
16;Donnerstag;1116
17;Donnerstag;2354
18;Donnerstag;2192
19;Donnerstag;1349
20;Donnerstag;746
21;Donnerstag;617
22;Donnerstag;465
23;Donnerstag;362
0;Freitag;169
1;Freitag;122
2;Freitag;70
3;Freitag;51
4;Freitag;43
5;Freitag;81
6;Freitag;474
7;Freitag;1664
8;Freitag;3398
9;Freitag;1841
10;Freitag;1046
11;Freitag;913
12;Freitag;1236
13;Freitag;1204
14;Freitag;1191
15;Freitag;1309
16;Freitag;1568
17;Freitag;2616
18;Freitag;2030
19;Freitag;1187
20;Freitag;761
21;Freitag;504
22;Freitag;462
23;Freitag;427
0;Samstag;375
1;Samstag;295
2;Samstag;218
3;Samstag;170
4;Samstag;112
5;Samstag;89
6;Samstag;79
7;Samstag;177
8;Samstag;376
9;Samstag;580
10;Samstag;822
11;Samstag;928
12;Samstag;1168
13;Samstag;1224
14;Samstag;1217
15;Samstag;1152
16;Samstag;1193
17;Samstag;1143
18;Samstag;880
19;Samstag;514
20;Samstag;168
21;Samstag;181
22;Samstag;228
23;Samstag;240
0;Sonntag;272
1;Sonntag;226
2;Sonntag;177
3;Sonntag;168
4;Sonntag;81
5;Sonntag;67
6;Sonntag;90
7;Sonntag;136
8;Sonntag;234
9;Sonntag;604
10;Sonntag;986
11;Sonntag;1306
12;Sonntag;1708
13;Sonntag;1807
14;Sonntag;2006
15;Sonntag;1784
16;Sonntag;1472
17;Sonntag;568
18;Sonntag;563
19;Sonntag;435
20;Sonntag;329
21;Sonntag;239
22;Sonntag;235
23;Sonntag;148
0;Montag;97
1;Montag;49
2;Montag;29
3;Montag;19
4;Montag;33
5;Montag;78
6;Montag;496
7;Montag;1798
8;Montag;3573
9;Montag;1600
10;Montag;772
11;Montag;642
12;Montag;769
13;Montag;809
14;Montag;736
15;Montag;897
16;Montag;1317
17;Montag;2739
18;Montag;2470
19;Montag;1410
20;Montag;844
21;Montag;514
22;Montag;360
23;Montag;207
0;Dienstag;102
1;Dienstag;53
2;Dienstag;32
3;Dienstag;30
4;Dienstag;38
5;Dienstag;79
6;Dienstag;574
7;Dienstag;1997
8;Dienstag;3818
9;Dienstag;1701
10;Dienstag;805
