instant;date;time;hr;weekdays;month;cnt;t1;t2;hum;wind_speed;weather_code;is_holiday;is_weekend;season
91;2015-01-07;18:00:00;18;Mittwoch;1;2579;10;7;71;30;3;0;0;3
92;2015-01-07;20:00:00;20;Mittwoch;1;657;10;6.5;79;30.5;3;0;0;3
93;2015-01-07;21:00:00;21;Mittwoch;1;516;10;7;82;27;7;0;0;3
94;2015-01-07;22:00:00;22;Mittwoch;1;414;10;7;82;27;7;0;0;3
95;2015-01-07;23:00:00;23;Mittwoch;1;206;10;7;85;24;7;0;0;3
96;2015-01-08;00:00:00;0;Donnerstag;1;123;11;11;82;26;4;0;0;3
97;2015-01-08;01:00:00;1;Donnerstag;1;56;11.5;11.5;85;24;3;0;0;3
98;2015-01-08;02:00:00;2;Donnerstag;1;51;12;12;82;25;3;0;0;3
99;2015-01-08;03:00:00;3;Donnerstag;1;33;12;12;85;22;3;0;0;3
100;2015-01-08;04:00:00;4;Donnerstag;1;32;12;12;88;20.5;7;0;0;3
101;2015-01-08;05:00:00;5;Donnerstag;1;87;12;12;80;20.5;7;0;0;3
102;2015-01-08;06:00:00;6;Donnerstag;1;511;11.5;11.5;74.5;17;3;0;0;3
103;2015-01-08;07:00:00;7;Donnerstag;1;982;10.5;9.5;82.5;17;7;0;0;3
104;2015-01-08;08:00:00;8;Donnerstag;1;1228;9.5;7.5;87.5;14;7;0;0;3
105;2015-01-08;09:00:00;9;Donnerstag;1;573;9;7;87;13;7;0;0;3
106;2015-01-08;10:00:00;10;Donnerstag;1;185;9;7;87;14;7;0;0;3
107;2015-01-08;11:00:00;11;Donnerstag;1;193;9;6;82;20.5;7;0;0;3
108;2015-01-08;12:00:00;12;Donnerstag;1;522;9;6.5;84.5;17;2;0;0;3
109;2015-01-08;13:00:00;13;Donnerstag;1;672;9;5.5;79;27;2;0;0;3
110;2015-01-08;14:00:00;14;Donnerstag;1;761;10;7;71;22;2;0;0;3
111;2015-01-08;15:00:00;15;Donnerstag;1;781;9;6;71;22;2;0;0;3
112;2015-01-08;16:00:00;16;Donnerstag;1;1212;9;6;71;19.5;2;0;0;3
113;2015-01-08;17:00:00;17;Donnerstag;1;2351;9;6;76;22;2;0;0;3
114;2015-01-08;18:00:00;18;Donnerstag;1;2110;8.5;5.5;73.5;22.5;1;0;0;3
115;2015-01-08;19:00:00;19;Donnerstag;1;1239;8;5;73.5;20.5;1;0;0;3
116;2015-01-08;20:00:00;20;Donnerstag;1;752;8;5;76;17;1;0;0;3
117;2015-01-08;21:00:00;21;Donnerstag;1;457;8;4.5;76;20.5;1;0;0;3
118;2015-01-08;22:00:00;22;Donnerstag;1;423;8.5;5.5;73.5;21;1;0;0;3
119;2015-01-08;23:00:00;23;Donnerstag;1;267;9;5.5;76;27;2;0;0;3
120;2015-01-09;00:00:00;0;Freitag;1;147;10;7;71;28;2;0;0;3
121;2015-01-09;01:00:00;1;Freitag;1;60;10;7;73.5;30;7;0;0;3
122;2015-01-09;02:00:00;2;Freitag;1;65;10;6.5;79;29.5;7;0;0;3
123;2015-01-09;03:00:00;3;Freitag;1;42;11;11;79.5;29;3;0;0;3
124;2015-01-09;04:00:00;4;Freitag;1;47;11;11;85;33;3;0;0;3
125;2015-01-09;05:00:00;5;Freitag;1;85;11.5;11.5;85;33;3;0;0;3
126;2015-01-09;06:00:00;6;Freitag;1;441;12;12;82;32.5;3;0;0;3
127;2015-01-09;07:00:00;7;Freitag;1;1593;12;12;82;31.5;3;0;0;3
128;2015-01-09;08:00:00;8;Freitag;1;3505;12;12;79.5;25;2;0;0;3
129;2015-01-09;09:00:00;9;Freitag;1;1768;12;12;74.5;30;2;0;0;3
130;2015-01-09;10:00:00;10;Freitag;1;799;12.5;12.5;69.5;29.5;1;0;0;3
131;2015-01-09;11:00:00;11;Freitag;1;806;13;13;67;28;1;0;0;3
132;2015-01-09;12:00:00;12;Freitag;1;1052;13;13;67;26;1;0;0;3
133;2015-01-09;13:00:00;13;Freitag;1;1078;13;13;63;30;1;0;0;3
134;2015-01-09;14:00:00;14;Freitag;1;976;13;13;63;26;2;0;0;3
135;2015-01-09;15:00:00;15;Freitag;1;912;13.5;13.5;67.5;33.5;7;0;0;3
136;2015-01-09;16:00:00;16;Freitag;1;1229;13;13;79.5;37;7;0;0;3
137;2015-01-09;17:00:00;17;Freitag;1;2409;13.5;13.5;85;35;7;0;0;3
138;2015-01-09;18:00:00;18;Freitag;1;1983;15;15;82;36;7;0;0;3
139;2015-01-09;19:00:00;19;Freitag;1;1094;15.5;15.5;77;41;7;0;0;3
140;2015-01-09;20:00:00;20;Freitag;1;686;15;15;72;44;3;0;0;3
141;2015-01-09;21:00:00;21;Freitag;1;443;15;15;68;41;3;0;0;3
142;2015-01-09;22:00:00;22;Freitag;1;464;15;15;68;40;3;0;0;3
143;2015-01-09;23:00:00;23;Freitag;1;420;14;14;77;41.5;4;0;0;3
144;2015-01-10;00:00:00;0;Samstag;1;392;14;14;77;39;4;0;1;3
145;2015-01-10;01:00:00;1;Samstag;1;277;14;14;77;40;4;0;1;3
146;2015-01-10;02:00:00;2;Samstag;1;189;14;14;72;40.5;3;0;1;3
147;2015-01-10;03:00:00;3;Samstag;1;153;13;13;77;41;3;0;1;3
148;2015-01-10;04:00:00;4;Samstag;1;90;13;13;77;36;3;0;1;3
149;2015-01-10;05:00:00;5;Samstag;1;52;13;13;77;35;3;0;1;3
150;2015-01-10;06:00:00;6;Samstag;1;69;13;13;82;35;7;0;1;3
151;2015-01-10;07:00:00;7;Samstag;1;143;13;13;79.5;35;3;0;1;3
152;2015-01-10;08:00:00;8;Samstag;1;321;14;14;74.5;40;3;0;1;3
153;2015-01-10;09:00:00;9;Samstag;1;619;14;14;77;48;3;0;1;3
154;2015-01-10;10:00:00;10;Samstag;1;757;14;14;74.5;41;7;0;1;3
155;2015-01-10;11:00:00;11;Samstag;1;800;11.5;11.5;67.5;42.5;3;0;1;3
156;2015-01-10;12:00:00;12;Samstag;1;1191;11.5;11.5;58;41.5;2;0;1;3
157;2015-01-10;13:00:00;13;Samstag;1;1395;10.5;8.5;54;38;3;0;1;3
158;2015-01-10;14:00:00;14;Samstag;1;1358;9;4.5;54;42.5;3;0;1;3
159;2015-01-10;15:00:00;15;Samstag;1;1436;9;5;48;35;2;0;1;3
160;2015-01-10;16:00:00;16;Samstag;1;1270;8;4;51.5;27;1;0;1;3
161;2015-01-10;17:00:00;17;Samstag;1;1054;8;4;51.5;29;2;0;1;3
162;2015-01-10;18:00:00;18;Samstag;1;849;7;3;55;26;1;0;1;3
163;2015-01-10;19:00:00;19;Samstag;1;720;6;2;57;26;1;0;1;3
164;2015-01-10;20:00:00;20;Samstag;1;556;6;2;57;25;1;0;1;3
165;2015-01-10;21:00:00;21;Samstag;1;349;6;2;57;21;1;0;1;3
166;2015-01-10;22:00:00;22;Samstag;1;335;5;1;66;20;1;0;1;3
167;2015-01-10;23:00:00;23;Samstag;1;334;5;1;66;19.5;1;0;1;3
168;2015-01-11;00:00:00;0;Sonntag;1;360;4.5;0.5;72.5;22;1;0;1;3
169;2015-01-11;01:00:00;1;Sonntag;1;255;4;-0.5;75;22;1;0;1;3
170;2015-01-11;02:00:00;2;Sonntag;1;198;4;-0.5;75;23;1;0;1;3
171;2015-01-11;03:00:00;3;Sonntag;1;135;4;-1;75;27;2;0;1;3
172;2015-01-11;04:00:00;4;Sonntag;1;74;4;-1;72.5;28;1;0;1;3
173;2015-01-11;05:00:00;5;Sonntag;1;57;4;-1;70;27;1;0;1;3
174;2015-01-11;06:00:00;6;Sonntag;1;67;4.5;0;68;24;1;0;1;3
175;2015-01-11;07:00:00;7;Sonntag;1;93;5;1;66;24;1;0;1;3
176;2015-01-11;08:00:00;8;Sonntag;1;241;5;0;66;29.5;1;0;1;3
177;2015-01-11;09:00:00;9;Sonntag;1;538;5.5;0.5;63.5;29;1;0;1;3
178;2015-01-11;10:00:00;10;Sonntag;1;922;6.5;2;61;30;1;0;1;3
179;2015-01-11;11:00:00;11;Sonntag;1;1248;7.5;3.5;59;27;1;0;1;3
180;2015-01-11;12:00:00;12;Sonntag;1;1555;8.5;4.5;55.5;27;1;0;1;3
181;2015-01-11;13:00:00;13;Sonntag;1;1813;9;5;56;28;2;0;1;3
182;2015-01-11;14:00:00;14;Sonntag;1;1639;9;5;60;28;2;0;1;3
183;2015-01-11;15:00:00;15;Sonntag;1;1464;8.5;5;64;26;3;0;1;3
184;2015-01-11;16:00:00;16;Sonntag;1;1097;8;4.5;66;23;3;0;1;3
185;2015-01-11;17:00:00;17;Sonntag;1;827;8;5;71;20.5;7;0;1;3
186;2015-01-11;18:00:00;18;Sonntag;1;519;8;4;73.5;25;7;0;1;3
187;2015-01-11;19:00:00;19;Sonntag;1;493;8;4;73.5;24;3;0;1;3
188;2015-01-11;20:00:00;20;Sonntag;1;315;8;4.5;71;26;7;0;1;3
189;2015-01-11;21:00:00;21;Sonntag;1;260;8;4;71;30;7;0;1;3
190;2015-01-11;22:00:00;22;Sonntag;1;237;9;5;66;37;7;0;1;3
191;2015-01-11;23:00:00;23;Sonntag;1;168;9;5;71;30.5;3;0;1;3
192;2015-01-12;00:00:00;0;Montag;1;117;9;5;68.5;29;2;0;0;3
193;2015-01-12;01:00:00;1;Montag;1;45;10;6;60;34;4;0;0;3
194;2015-01-12;02:00:00;2;Montag;1;29;10;7;64.5;30;4;0;0;3
195;2015-01-12;03:00:00;3;Montag;1;36;10;6.5;67;30.5;3;0;0;3
196;2015-01-12;04:00:00;4;Montag;1;26;10;6.5;67;33.5;3;0;0;3
197;2015-01-12;05:00:00;5;Montag;1;86;10;6;67;35;3;0;0;3
198;2015-01-12;06:00:00;6;Montag;1;433;10;6;73.5;31;7;0;0;3
199;2015-01-12;07:00:00;7;Montag;1;1541;10;7;76;30;7;0;0;3
200;2015-01-12;08:00:00;8;Montag;1;3418;10;6;76;31;3;0;0;3
201;2015-01-12;09:00:00;9;Montag;1;1832;11.5;11.5;67;32.5;3;0;0;3
202;2015-01-12;10:00:00;10;Montag;1;723;12;12;67;33;3;0;0;3
203;2015-01-12;11:00:00;11;Montag;1;654;12;12;74.5;39;3;0;0;3
204;2015-01-12;12:00:00;12;Montag;1;700;12;12;79.5;29.5;3;0;0;3
205;2015-01-12;13:00:00;13;Montag;1;631;12;12;79.5;29.5;3;0;0;3
206;2015-01-12;14:00:00;14;Montag;1;520;12.5;12.5;77;33;7;0;0;3
207;2015-01-12;15:00:00;15;Montag;1;374;12;12;82;25;7;0;0;3
208;2015-01-12;16:00:00;16;Montag;1;669;12;12;82;22.5;7;0;0;3
209;2015-01-12;17:00:00;17;Montag;1;1510;11.5;11.5;88;22;7;0;0;3
210;2015-01-12;18:00:00;18;Montag;1;1186;11;11;94;22;7;0;0;3
211;2015-01-12;19:00:00;19;Montag;1;1136;11.5;11.5;85;22;7;0;0;3
212;2015-01-12;20:00:00;20;Montag;1;753;12;12;82;20;4;0;0;3
213;2015-01-12;21:00:00;21;Montag;1;510;12;12;85;18.5;7;0;0;3
214;2015-01-12;22:00:00;22;Montag;1;184;12;12;88;21;7;0;0;3
215;2015-01-12;23:00:00;23;Montag;1;86;12;12;88;23;7;0;0;3
216;2015-01-13;00:00:00;0;Dienstag;1;64;12;12;88;25;7;0;0;3
217;2015-01-13;01:00:00;1;Dienstag;1;29;12;12;88;30;7;0;0;3
218;2015-01-13;02:00:00;2;Dienstag;1;21;11.5;11.5;88;24.5;7;0;0;3
219;2015-01-13;03:00:00;3;Dienstag;1;13;11;11;85;19;7;0;0;3
220;2015-01-13;04:00:00;4;Dienstag;1;33;11;11;82;21;7;0;0;3
221;2015-01-13;05:00:00;5;Dienstag;1;113;10.5;9;79.5;21;7;0;0;3
222;2015-01-13;06:00:00;6;Dienstag;1;600;10;7.5;82;20.5;2;0;0;3
223;2015-01-13;07:00:00;7;Dienstag;1;1584;9.5;6.5;79;21;7;0;0;3
224;2015-01-13;08:00:00;8;Dienstag;1;3960;9;6.5;71;16;2;0;0;3
225;2015-01-13;09:00:00;9;Dienstag;1;2090;9;6;71;18;2;0;0;3
226;2015-01-13;10:00:00;10;Dienstag;1;960;9;6.5;71;17.5;1;0;0;3
227;2015-01-13;11:00:00;11;Dienstag;1;866;9;6;68.5;18;2;0;0;3
228;2015-01-13;12:00:00;12;Dienstag;1;1019;9.5;6.5;64;20.5;7;0;0;3
229;2015-01-13;13:00:00;13;Dienstag;1;719;9;5.5;73.5;27.5;7;0;0;3
230;2015-01-13;14:00:00;14;Dienstag;1;811;8.5;4.5;71;29;7;0;0;3
231;2015-01-13;15:00:00;15;Dienstag;1;883;8;4.5;73.5;21.5;2;0;0;3
232;2015-01-13;16:00:00;16;Dienstag;1;1391;7.5;4;68.5;23;2;0;0;3
233;2015-01-13;17:00:00;17;Dienstag;1;2886;7;3;71;22;2;0;0;3
234;2015-01-13;18:00:00;18;Dienstag;1;2659;7;4.5;71;14;7;0;0;3
235;2015-01-13;19:00:00;19;Dienstag;1;1548;6;2.5;76;19.5;7;0;0;3
236;2015-01-13;20:00:00;20;Dienstag;1;947;5.5;1.5;76;21;2;0;0;3
237;2015-01-13;21:00:00;21;Dienstag;1;660;5;1;76;23;2;0;0;3
238;2015-01-13;22:00:00;22;Dienstag;1;501;5;2;76;17;1;0;0;3
239;2015-01-13;23:00:00;23;Dienstag;1;340;5;1;70;19.5;1;0;0;3
240;2015-01-14;00:00:00;0;Mittwoch;1;168;5;0.5;66;26;1;0;0;3
241;2015-01-14;01:00:00;1;Mittwoch;1;79;5;0;66;30;1;0;0;3
242;2015-01-14;02:00:00;2;Mittwoch;1;60;5;0.5;66;24;1;0;0;3
243;2015-01-14;03:00:00;3;Mittwoch;1;54;4.5;0.5;72.5;21;1;0;0;3
244;2015-01-14;04:00:00;4;Mittwoch;1;44;4.5;1.5;72.5;14;1;0;0;3
245;2015-01-14;05:00:00;5;Mittwoch;1;93;5;1.5;70;17.5;1;0;0;3
246;2015-01-14;06:00:00;6;Mittwoch;1;560;5;1;70;23;3;0;0;3
247;2015-01-14;07:00:00;7;Mittwoch;1;1820;4.5;-1;68;30.5;2;0;0;3
248;2015-01-14;08:00:00;8;Mittwoch;1;3904;4;-1;70;26;2;0;0;3
249;2015-01-14;09:00:00;9;Mittwoch;1;2064;4.5;-0.5;68;29;2;0;0;3
250;2015-01-14;10:00:00;10;Mittwoch;1;841;5;0;70;30.5;2;0;0;3
251;2015-01-14;11:00:00;11;Mittwoch;1;732;5.5;1;65.5;27;2;0;0;3
252;2015-01-14;12:00:00;12;Mittwoch;1;1013;6.5;2.5;59;27;2;0;0;3
253;2015-01-14;13:00:00;13;Mittwoch;1;1066;7;3;57;24;2;0;0;3
254;2015-01-14;14:00:00;14;Mittwoch;1;913;7;3.5;55;22;2;0;0;3
255;2015-01-14;15:00:00;15;Mittwoch;1;969;7;4;55;18;1;0;0;3
256;2015-01-14;16:00:00;16;Mittwoch;1;1365;7;4.5;59;16;1;0;0;3
257;2015-01-14;17:00:00;17;Mittwoch;1;2638;7.5;4.5;64;16;2;0;0;3
258;2015-01-14;18:00:00;18;Mittwoch;1;1974;8;4.5;71;21.5;2;0;0;3
259;2015-01-14;19:00:00;19;Mittwoch;1;1254;9;5.5;71;27;3;0;0;3
260;2015-01-14;20:00:00;20;Mittwoch;1;885;10;6;69;31;3;0;0;3
261;2015-01-14;21:00:00;21;Mittwoch;1;537;10;6;71;38;7;0;0;3
262;2015-01-14;22:00:00;22;Mittwoch;1;344;9.5;5.5;76.5;39;7;0;0;3
263;2015-01-14;23:00:00;23;Mittwoch;1;188;10;6;79;40;26;0;0;3
264;2015-01-15;00:00:00;0;Donnerstag;1;91;10;6;82;40;7;0;0;3
265;2015-01-15;01:00:00;1;Donnerstag;1;66;11;11;79.5;40;26;0;0;3
266;2015-01-15;02:00:00;2;Donnerstag;1;25;11;11;82;44.5;26;0;0;3
267;2015-01-15;03:00:00;3;Donnerstag;1;23;11.5;11.5;79.5;45;7;0;0;3
268;2015-01-15;04:00:00;4;Donnerstag;1;23;11;11;77;37;26;0;0;3
269;2015-01-15;05:00:00;5;Donnerstag;1;62;10;6.5;79;31.5;7;0;0;3
270;2015-01-15;06:00:00;6;Donnerstag;1;481;9.5;5.5;73.5;29.5;7;0;0;3
271;2015-01-15;07:00:00;7;Donnerstag;1;1692;9;6;73.5;23;2;0;0;3
272;2015-01-15;08:00:00;8;Donnerstag;1;3673;9;6;66;21;1;0;0;3
273;2015-01-15;09:00:00;9;Donnerstag;1;1941;9;6;73.5;19.5;2;0;0;3
274;2015-01-15;10:00:00;10;Donnerstag;1;844;9;6;76;21;2;0;0;3
275;2015-01-15;11:00:00;11;Donnerstag;1;729;9;6;66;26;2;0;0;3
276;2015-01-15;12:00:00;12;Donnerstag;1;835;8.5;5;71;25;7;0;0;3
277;2015-01-15;13:00:00;13;Donnerstag;1;1005;9;5;64;32.5;2;0;0;3
278;2015-01-15;14:00:00;14;Donnerstag;1;828;9;5;60;30.5;2;0;0;3
279;2015-01-15;15:00:00;15;Donnerstag;1;912;9;5;52;36;2;0;0;3
280;2015-01-15;16:00:00;16;Donnerstag;1;1249;8;4;53;29;2;0;0;3
281;2015-01-15;17:00:00;17;Donnerstag;1;2524;7.5;3.5;55;29.5;2;0;0;3
282;2015-01-15;18:00:00;18;Donnerstag;1;2480;7;3;57;29.5;2;0;0;3
283;2015-01-15;19:00:00;19;Donnerstag;1;1353;8;4;51.5;29.5;2;0;0;3
284;2015-01-15;20:00:00;20;Donnerstag;1;810;7;2;51;34;2;0;0;3
285;2015-01-15;21:00:00;21;Donnerstag;1;591;6.5;1.5;57;32;1;0;0;3
286;2015-01-15;22:00:00;22;Donnerstag;1;430;6.5;1.5;59;33;2;0;0;3
287;2015-01-15;23:00:00;23;Donnerstag;1;301;7;3;57;29.5;1;0;0;3
288;2015-01-16;00:00:00;0;Freitag;1;208;7;3;53;31;1;0;0;3
289;2015-01-16;01:00:00;1;Freitag;1;117;7;3;53;27.5;1;0;0;3
290;2015-01-16;02:00:00;2;Freitag;1;71;6.5;2.5;59;22;1;0;0;3
291;2015-01-16;03:00:00;3;Freitag;1;59;6.5;2.5;59;25;1;0;0;3
292;2015-01-16;04:00:00;4;Freitag;1;46;6.5;3;55;20.5;1;0;0;3
293;2015-01-16;05:00:00;5;Freitag;1;88;6.5;3;55;20.5;1;0;0;3
294;2015-01-16;06:00:00;6;Freitag;1;471;7;4;55;18.5;1;0;0;3
295;2015-01-16;07:00:00;7;Freitag;1;1648;7;4.5;59;15;7;0;0;3
296;2015-01-16;08:00:00;8;Freitag;1;3546;7;4.5;61;15;3;0;0;3
297;2015-01-16;09:00:00;9;Freitag;1;1980;6;3;71;13;2;0;0;3
298;2015-01-16;10:00:00;10;Freitag;1;878;6.5;3.5;68.5;17;2;0;0;3
299;2015-01-16;11:00:00;11;Freitag;1;795;6;2.5;76;19.5;2;0;0;3
300;2015-01-16;12:00:00;12;Freitag;1;994;6;3;73.5;17;2;0;0;3
301;2015-01-16;13:00:00;13;Freitag;1;1122;7;4;68.5;15;2;0;0;3
302;2015-01-16;14:00:00;14;Freitag;1;941;7;4.5;66;15;2;0;0;3
303;2015-01-16;15:00:00;15;Freitag;1;1104;7;4;66;15;2;0;0;3
304;2015-01-16;16:00:00;16;Freitag;1;1149;6;2;68.5;23.5;7;0;0;3
305;2015-01-16;17:00:00;17;Freitag;1;2348;5.5;2.5;76;14;2;0;0;3
306;2015-01-16;18:00:00;18;Freitag;1;2002;5;1.5;73;16;3;0;0;3
307;2015-01-16;19:00:00;19;Freitag;1;1183;4;1;72.5;12;1;0;0;3
